Level|Name|School|Casting Time|Range|Area or Targets|Effect|Save or Attack|Duration|Conc|Ritual|Mats|Cost|Source|Page|Arcane Trickster|Bard|Cleric|Druid|Eldritch Knight|Paladin|Ranger|Sorcerer|Warlock|Wizard
0|Acid Splash|Conj|Act|60'|1 or 2 creatures|1-2 creatures within 5' of each other must make a DEX save or take 1d6 acid damage.  Damage increases to 2d6 at 5th, 3d6 at 11th, and 4d6 at 17th|Dex|Instant|||VS||PHB|211|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Blade Ward|Abjur|Act|Self|Self|You gain resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.||1 rnd|||VS||PHB|218|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Booming Blade|Evoc|Act|5'|1 creature|Make a melee weapon attack as part of casting. On hit, target is affected. If it willingly moves before end of your next turn, it takes 1d8 thunder damage. At 5th, +1d8 thunder to initial weapon attack and secondary damage. +2d8 at 11th and +3d8 at 17th.||1 rnd|||VM||EE|15|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Chill Touch|Necro|Act|120'|1 creature|Ranged spell attack: 1d8 necrotic, can't regain hp until start of your next turn. If undead, has disadvantage on attacks against you.  Damage increases to 2d8 at 5th, 3d8 at 11th, and 4d8 at 17th|Attack|1 rnd|||VS||PHB|221|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Control Flames|Trans|Act|60'|flames in 5' cube|Affect non-magical flame within 5' cube: Expand 5' in one direction (fuel needed); extinguish flame, double /halve light radius and change color for 1 hour; or cause simple shapes to appear within flames. Multiple castings allow up to 3 non-instant effects max.||Instant or 1 Hr|||S||EE|16|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Create Bonfire|Conj|Act|60'|5' cube|Create bonfire in 5' cube.  Deals 1d8 fire to creatures in space when cast, or when entering or ending turn in space (save negates). Damage increases to 2d8 at 5th, 3d8 at 11th, and 4d8 at 17th|Dex|≤1 Min|YES||VS||EE|16|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Dancing Lights|Evoc|Act|120'|≤4 lights|Lights shine in 10' radius, within 20' of each other. Bonus action to move them ≤60'.||≤1 Min|YES||VSM||PHB|230|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Druidcraft|Trans|Act|30'|various|Predict weather (24hrs), affect plants, natural sensory effects in 5' cube (leaves, wind, smells, sounds), light or extinguish small fires||Instant|||VS||PHB|236|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Eldritch Blast|Evoc|Act|120'|1 target|1d10 force damage.  Two beams at 5th, 3 beams at 11th, 4 beams at 17th.  Separate attacks/targets per beam.|Attack|Instant|||VS||PHB|237|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE
0|Fire Bolt|Evoc|Act|120'|1 target|Creature or object takes 1d10 fire damage, ignites combustibles.  Damage increases to 2d10 at 5th, 3d10 at 11th, and 4d10 at 17th.|Attack|Instant|||VS||PHB|241|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Friends|Ench|Act|Self|Self|You have advantage on all Cha checks directed at one nonhostile creature of your choice.  The creature becomes hostile toward you when the spell ends.||≤1 Min|YES||SM||PHB|244|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Frostbite|Evoc|Act|60'|1 creature|Con Save or take 1d6 cold damage and disadvantage on next weapon attack before end of its next turn.  Increases to 2d6 (5th), 3d6 (11th), 4d6 (17th)|Con|Instant|||VS||EE|18|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Green Flame Blade|Evoc|Act|5'|1+ creature|Make a melee weapon attack as part of casting.  On hit, target is affected (+0d8) and fire targets creaure within 5' of target (ability mod).  At 5th,  +1d8 to initial and secondary damage.  +2d8 at 11th and +3d8 at 17th.||Instant|||VM||SCAG|143|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Guidance|Divin|Act|Touch|1 creature|Once before duration ends, creature can add +1d4 to one ability check of its choice, before or after making the check.||≤1 Min|YES||VS||PHB|248|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
0|Gust|Trans|Act|30'|variable|Pick one: 1) push medium or smaller creature (Str save neg), 2) push 5lb object 10', or 3) harmless sensory air effect|Str|Instant|||VS||EE|19|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Infestation|Conj|Act|30'|1 creature|Create cloud of small parasites to appear on target.  CON save or take 1d6 poison damage and move 5ft in random direction. No Opp. attacks, if direction is blocked, doesn't move.  2d6 dmg at 5th, 3d6 at 11th, 4d6 at 17th.|Con|Instant|||VSM||XGTE|158|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Light|Evoc|Act|Touch|1 object ≤10' cube|Object sheds light in 20' rad, dim light in 40' rad.  Objects carried allow creature a save.  Ends if you cast it again.|Dex|1 Hr|||VM||PHB|255|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE
0|Lightning Lure|Evoc|Act|15'|1 creature|Target is pulled 10' in straight line to you, then takes 1d8 lightning dmg if it's within 5' of you (Str save negates).  Damage increases to 2d8 at 5th, 3d8 at 11th, and 4d8 at 17th.|Str|Instant|||V||SCAG|143|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
0|Mage Hand|Conj|Act|30'|Spectral hand|Use Action to control hand, which can manipulate objects ≤10lbs.||1 Min|||VS||PHB|256|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE
